w porządku	okay
krzyż	cross
cross	krzyż
krzyżówka	crossword
crossword	krzyżówka
skrzyżowanie	intersection / crossroad
intersection / crossroad	skrzyżowanie
zwiedzać	to visit
to visit	zwiedzać
wygrać	to win
to win	wygrać
daleko	far
far	daleko
blisko	near
near	blisko
rzeka	river
river	rzeka
pomnik	statue
statue	pomnik
ratusz	town hall
town hall	ratusz
przystanek	bus stop
bus stop	przystanek
na wprost	straight (ahead)
straight (ahead)	na wprost
po prawej	on the right
on the right	po prawej
po lewej	on the left
on the left	po lewej
prosto	straight
straight	prosto
w lewo	to the left
to the left	w lewo
w prawo	on the right
on the right	w prawo
na rogu	on the corner
on the corner	na rogu
na zewnątrz	outside
outside	na zewnątrz
naprzeciwko	opposite
opposite	naprzeciwko
na górze	on top
on top	na górze
na dole	on the bottom
on the bottom	na dole
w środku	in the middle
in the middle	w środku
dojść	to come
to come	dojść
przejść	to go through
to go through	przejść
skręcić	to turn
to turn	skręcić
zaraz potem	just after
just after	zaraz potem
siedzieć	to sit
to sit	siedzieć
powtórzyć	to repeat
to repeat	powtórzyć
pasuje (ci)	Fits (you)
Fits (you)	pasuje (ci)
poznać	To meet / get to know
To meet / get to know	poznać
moim zdaniem	In my opinion
In my opinion	moim zdaniem
słoik	jar
jar	słoik
paczka	pack
pack	paczka
puszka	tin
tin	puszka
plasterek	a slice
a slice	plasterek
zapałki	matches
matches	zapałki
bochenek	loaf
loaf	bochenek
kolejka	queue
queue	kolejka
wybierać się	to be going
to be going	wybierać się
nie cierpieć	hate
hate	nie cierpieć
zmyślać	to make up
to make up	zmyślać
zależec od	to depend on
to depend on	zależec od
poza tym	otherwise
otherwise	poza tym
bać się	to be afraid of
to be afraid of	bać się
prośbać	to ask / request
to ask / request	prośbać
wprowadzić się	to move in
to move in	wprowadzić się
każdy	every
every	każdy
co dwa dni	every two days
every two days	co dwa dni
mniej więcej	more or less
more or less	mniej więcej
to zależy	it depends
it depends	to zależy
i tak dalej	etcetera
etcetera	i tak dalej
trzymać	to keep
to keep	trzymać
brać	to take
to take	brać
zabierać	to take away
to take away	zabierać
przynieść	to bring
to bring	przynieść
wreszcie	finally
finally	wreszcie
pocztówka	postcard
postcard	pocztówka
znaczek	stamp
stamp	znaczek
listonosz	postman
postman	listonosz
koperta	envelope
envelope	koperta
skrzynka pocztowa	mailbox
mailbox	skrzynka pocztowa
wszędzie	everywhere
everywhere	wszędzie
nie ma sprawy	not an issue
not an issue	nie ma sprawy
przykro mi	I'm sorry
I'm sorry	przykro mi
z przyjemnością	with pleasure
with pleasure	z przyjemnością
prośba	an ask / request
an ask / request	prośba
Nie ma sprawy/problemu	No big deal / not a problem
No big deal / not a problem	Nie ma sprawy/problemu
Przykro mi, ale nie	I'm sorry, but no
I'm sorry, but no	Przykro mi, ale nie
Czy mógłbyś mi pomóc?	Could you help me?
Could you help me?	Czy mógłbyś mi pomóc?
Czy pomożesz mi?	Will you help me?
Will you help me?	Czy pomożesz mi?
Czy możesz mi pomóc?	Can you help me?
Can you help me?	Czy możesz mi pomóc?
Would Miss help me?	Czy mogłaby mi pani pomóc?
Czy mogłaby mi pani pomóc?	Would Miss help me?
Mam do ciebie prośbę, czy możesz...	I have a request for you, can you..
I have a request for you, can you..	Mam do ciebie prośbę, czy możesz...
Czy byłby pan tak uprzejmy i...	Would Sir be so kind and..
Would Sir be so kind and..	Czy byłby pan tak uprzejmy i...
uprzejmy	kind
kind	uprzejmy
Chciałem cię prosić o pomoc	I wanted to ask you for help
I wanted to ask you for help	Chciałem cię prosić o pomoc
przedłużyło	extended
extended	przedłużyło
pewnie	sure
sure	pewnie
do ciebie	to you
to you	do ciebie
do niego	to him
to him	do niego
do nich	to them
to them	do nich
do niej	to her
to her	do niej
do mnie	to me
to me	do mnie
to you (pl)	do was
do was	to you (pl)
to us	do nas
do nas	to us
do was wszystkich	to you all
to you all	do was wszystkich
bez skutku	with no result
with no result	bez skutku
but / however	jednak
jednak	but / however
wszyscy	everybody
everybody	wszyscy
uśmiechać się	to smile
to smile	uśmiechać się
nikt	no one
no one	nikt
lepiej	better
better	lepiej
przez	during
during	przez
zacząć	to start
to start	zacząć
dostać	to get
to get	dostać
przyjaciel	friend (masc)
friend (masc)	przyjaciel
przyjaciółka	friend (fem)
friend (fem)	przyjaciółka
około	around / about
around / about	około
wiele	many (not dużo)
many (not dużo)	wiele
czuć	To feel
To feel	czuć
pochmurny	cloudy
cloudy	pochmurny
różne	various
various	różne
mróz	frost
frost	mróz
to shine	świecić
świecić	to shine
góry	mountains
mountains	góry
wiać	to blow
to blow	wiać
wiatr	wind
wind	wiatr
ciśnienie	pressure
sprawdzić	to check
to check	sprawdzić
mgła	fog
fog	mgła
powyżej	above
above	powyżej
poniżej	below
below	poniżej
pojechać	to go (completed)
to go (completed)	pojechać
łódka	boat, dinghy
boat, dinghy	łódka
z przyjaciółmi	with friends
with friends	z przyjaciółmi
skromny	modest
modest	skromny
ostrożny	careful
careful	ostrożny
chodzić na spacer	to go on a walk
to go on a walk	chodzić na spacer
nastrój	mood
mood	nastrój
rośliny	plants
plants	rośliny
pressure	ciśnienie
Kto / Co?	Who / What (Mianownik)
Who / What (Mianownik)	Kto / Co?
Kogo / Co?	To who / to what? (Biernik)
To who / to what? (Biernik)	Kogo / Co?
Kim / Czym?	With whom / what? (Narzędnik)
With whom / what? (Narzędnik)	Kim / Czym?
Kogo / Czego?	Who's / What's? (Dopełniać)
Who's / What's? (Dopełniać)	Kogo / Czego?
czasem	sometimes
sometimes	czasem
każdy	each
each	każdy
pieszo	by foot
by foot	pieszo
most	bridge
bridge	most
modny	trendy
trendy	modny
marudna	grumpy
grumpy	marudna
plotki	gossip
gossip	plotki
strasznie	awful (not okropny)
awful (not okropny)	strasznie
co się dzieje?	Something wrong?
Something wrong?	co się dzieje?
beznadziejna	hopeless
hopeless	beznadziejna
wszystko jedno	I don't mind / it's all the same to me
I don't mind / it's all the same to me	wszystko jedno
nie mam zdania	I don't have a preference
I don't have a preference	nie mam zdania
upał	heat
heat	upał
korek / korki	traffic jam(s)
traffic jam(s)	korek / korki
